id,vendor_id,vendor_name,invoice_number,amount,amount_paid,due_date,status,created_at,updated_at
4fbcb71f-710e-4766-aa99-1ec847eb7fa0,31ad5291-5c1b-5472-b0d2-067b555260c0,"US Bank","US BANK 2148  Paid 11/05/20",710.87,710.87,2020-11-30,paid,,
74f759ab-ed5e-4db1-a913-d150d9575c25,e0da12e0-7778-5f32-9f92-342939a36795,"Speedway","SPEEDWAY 11/18/20",4868.88,4868.88,2020-11-30,paid,,
831b6171-b829-400c-89ac-6e911cf8a5de,31ad5291-5c1b-5472-b0d2-067b555260c0,"US Bank","US BANK  2148  Paid 11/05/20",2312.19,2312.19,2020-11-30,paid,,
a8e25157-ece9-486b-9aee-42ac0d5d50d3,31ad5291-5c1b-5472-b0d2-067b555260c0,"US Bank","US BANK 2148  Paid 11/05/20",350.22,350.22,2020-11-30,paid,,
acb51e08-e23d-49d1-a1f3-41c1adab815d,7ad5c9a3-6a37-55b2-a812-12d16abc4839,"DMP Vault Pymts East & West American Eagle","DMP VAULT PYMTS EAST & WEST AMERICAN EAGLE",5909.00,0.00,2020-11-30,overdue,,2026-05-07 01:00:00.207702
d5ddc336-6aca-458a-9d85-28fbbbda90e6,31ad5291-5c1b-5472-b0d2-067b555260c0,"US Bank","US BANK  2148  Paid 11/05/20",3121.88,3121.88,2020-11-30,paid,,
f16f5f37-a5c7-4ec8-87ab-e6a7a3dc1261,e4171360-53bf-510d-a4f6-de2e9c094758,"Amex CC","AMEX CC 45009  11/09/20",3573.21,3573.21,2020-11-30,paid,,
fdc60cbb-d958-4dcd-bc51-3dc495bf485e,77f8550a-5fa8-5c0b-918e-62e5d379f68b,"US Bank CC","US BANK CC # 5477  11/02/20",335.78,0.00,2020-11-30,overdue,,2026-05-07 01:00:00.207702
0a9d9f76-e029-4d38-bf51-a288e8e2bf99,31ad5291-5c1b-5472-b0d2-067b555260c0,"US Bank","US BANK 1622  Paid 12/04/20",2312.19,2312.19,2020-12-31,paid,,
1902cb0e-b2c3-4eb0-9e94-f8f74d12df54,31ad5291-5c1b-5472-b0d2-067b555260c0,"US Bank","US BANK 1622  Paid 12/04/20",710.87,710.87,2020-12-31,paid,,
1e52b592-dd79-4406-9cbc-7c302d13c096,01059055-f8f1-504a-84e3-8013b40e8dba,"Points Redeemed For Statement Credit Tibtsadik","Points Redeemed for Statement Credit TibTsadik",16.00,0.00,2020-12-31,overdue,,2026-05-07 01:00:00.207702
24f7aa62-f339-4e98-9a8d-4b2e3f88c7e6,7ad5c9a3-6a37-55b2-a812-12d16abc4839,"DMP Vault Pymts East & West American Eagle","DMP VAULT PYMTS EAST & WEST AMERICAN EAGLE",11949.00,0.00,2020-12-31,overdue,,2026-05-07 01:00:00.207702
3e201443-8d1c-4db6-89cb-ecebeb01a8a8,31ad5291-5c1b-5472-b0d2-067b555260c0,"US Bank","US BANK 1622  Paid 12/04/20",1437.93,1437.93,2020-12-31,paid,,
55ab67e6-58ab-4857-9c87-28abcff056d0,f5ea209c-5b1c-58a4-80d7-ce3f42ab6bb6,"BP OIL","BP OIL",137.88,0.00,2020-12-31,overdue,,2026-05-07 01:00:00.207702
68b19bfb-4b42-4806-9b9b-43b8c96f8ac0,e0da12e0-7778-5f32-9f92-342939a36795,"Speedway","SPEEDWAY 12/12/20",4868.88,4868.88,2020-12-31,paid,,
6c687baf-7025-47e2-87a8-fbe727099d39,f5ea209c-5b1c-58a4-80d7-ce3f42ab6bb6,"BP OIL","BP OIL",87.32,0.00,2020-12-31,overdue,,2026-05-07 01:00:00.207702
